,高潮时间,高潮潮高,低潮时间,低潮潮高,潮差
0,1996-12-27 03:00:00,5630.506733379645,1996-12-27 01:00:00,5114.735642670971,515.7710907086739
1,1996-12-27 16:00:00,5006.155672441127,1996-12-27 09:00:00,1497.5428131484396,3508.612859292687
2,1996-12-28 04:00:00,5813.744809470443,1996-12-27 21:00:00,2212.391322608474,3601.353486861969
3,1996-12-28 17:00:00,5268.4807233128195,1996-12-28 10:00:00,1355.662646022257,3912.8180772905625
4,1996-12-29 05:00:00,5954.533195204371,1996-12-28 22:00:00,2024.0669341634778,3930.466261040893
5,1996-12-29 17:00:00,5546.477971891545,1996-12-29 11:00:00,1233.0706549389301,4313.407316952615
6,1996-12-30 05:00:00,6043.107710558454,1996-12-29 23:00:00,1812.9462126929095,4230.161497865544
7,1996-12-30 18:00:00,5780.578272203231,1996-12-30 11:00:00,1162.7332670091555,4617.845005194075
8,1996-12-31 06:00:00,6097.920039082281,1996-12-31 00:00:00,1658.354979321264,4439.5650597610165
9,1996-12-31 19:00:00,5836.999703996469,1996-12-31 12:00:00,1088.7238130131814,4748.275890983288
10,1997-01-01 07:00:00,5976.878546363714,1997-01-01 00:00:00,1510.7978643732818,4466.080681990432
11,1997-01-01 19:00:00,5949.90348724091,1997-01-01 13:00:00,1165.4089206291897,4784.49456661172
12,1997-01-02 07:00:00,5826.211136858037,1997-01-02 01:00:00,1435.5621069844046,4390.649029873633
13,1997-01-02 20:00:00,5882.690648827307,1997-01-02 13:00:00,1228.6520138690507,4654.038634958257
14,1997-01-03 08:00:00,5605.993594139584,1997-01-03 02:00:00,1508.5236057854236,4097.469988354161
15,1997-01-03 20:00:00,5854.236878431358,1997-01-03 14:00:00,1388.163945991792,4466.072932439565
16,1997-01-04 08:00:00,5344.570359143128,1997-01-04 02:00:00,1533.778771997198,3810.7915871459304
17,1997-01-04 21:00:00,5689.629165182087,1997-01-04 14:00:00,1567.4151720654195,4122.213993116668
18,1997-01-05 09:00:00,5077.937043848184,1997-01-05 03:00:00,1655.4513226268027,3422.485721221381
19,1997-01-05 21:00:00,5595.680500260027,1997-01-05 15:00:00,1775.222197360745,3820.458302899282
20,1997-01-06 09:00:00,4787.927325562969,1997-01-06 04:00:00,1850.9277118598382,2936.9996137031303
21,1997-01-06 22:00:00,5393.931646593164,1997-01-06 15:00:00,2068.2340661714065,3325.6975804217577
22,1997-01-07 10:00:00,4526.896368606392,1997-01-07 04:00:00,1962.707354754568,2564.189013851824
23,1997-01-07 22:00:00,5231.261035042546,1997-01-07 16:00:00,2276.076235550154,2955.184799492392
24,1997-01-08 11:00:00,4274.607670215859,1997-01-08 05:00:00,2065.6658535408515,2208.9418166750074
25,1997-01-08 23:00:00,5056.3139446246905,1997-01-08 17:00:00,2479.688296425831,2576.6256481988594
26,1997-01-09 13:00:00,4165.330681883333,1997-01-09 06:00:00,2099.509479130666,2065.8212027526674
27,1997-01-10 01:00:00,4980.376126190547,1997-01-09 18:00:00,2595.1546972543306,2385.221428936217
28,1997-01-10 14:00:00,4345.108163211693,1997-01-10 07:00:00,2020.405529386535,2324.702633825158
29,1997-01-11 02:00:00,5133.836893207615,1997-01-10 19:00:00,2563.804256149574,2570.0326370580406
30,1997-01-11 15:00:00,4695.789831446518,1997-01-11 08:00:00,1820.346174688958,2875.4436567575603
31,1997-01-12 03:00:00,5430.61778008634,1997-01-11 21:00:00,2357.1547033993384,3073.4630766870014
32,1997-01-12 16:00:00,5135.738259077289,1997-01-12 09:00:00,1530.3974899992195,3605.340769078069
33,1997-01-13 04:00:00,5794.918406053274,1997-01-12 22:00:00,2025.1953267692254,3769.723079284049
34,1997-01-13 17:00:00,5558.944616578759,1997-01-13 10:00:00,1213.3419067567747,4345.602709821985
35,1997-01-14 05:00:00,6125.384597997283,1997-01-13 22:00:00,1615.5975504972996,4509.787047499984
36,1997-01-14 18:00:00,5863.9892146516595,1997-01-14 11:00:00,947.5859499468784,4916.403264704781
37,1997-01-15 06:00:00,6324.441752719875,1997-01-14 23:00:00,1206.9027076231023,5117.5390450967725
38,1997-01-15 18:00:00,6230.502729144269,1997-01-15 12:00:00,806.5004391372304,5424.002290007039
